"StageName","StageType","Result","Resource Start","Direction","Name","Field","Row","Type","Value"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text","Imperial"
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","2bb54aa4-ed92-476b-903b-9e83a7d9a243"
"File Data","Loop End","14 of 15","5/3/2024 2:26:28 PM"
"Create Quote Case","Multiple Calculation",,"5/3/2024 2:26:28 PM"

,,,,OUT,"step1",,,"Text","Kyiv03 May, 2024"
,,,,OUT,"step2",,,"Text","Kyiv"
,,,,OUT,"step3",,,"Text","Input City Names.XLSX"
,,,,OUT,"step4",,,"Text","Metric"
"Is Item in queue already?","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Key",,,"Text","Kyiv03 May, 2024"
,,,,IN,"Include Pending",,,"Flag","True"
,,,,IN,"Include Deferred",,,"Flag","True"
,,,,IN,"Include Completed",,,"Flag","True"
,,,,IN,"Include Terminated",,,"Flag","True"
,,,,OUT,"Result",,,"Flag","False"
,,,,OUT,"Item IDs",,,,
"In Queue?","Decision","False","5/3/2024 2:26:28 PM"
"Add To Queue","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,IN,"Data",,,,
,,,,IN,"Data","City","1","Text","Kyiv"
,,,,IN,"Data","City ID","1","Text","Kyiv03 May, 2024"
,,,,IN,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,IN,"Data","Units","1","Text","Metric"
,,,,OUT,"Item IDs",,,,
,,,,OUT,"Item IDs","Item ID","1","Text","44f86290-094d-4177-bd48-8681f0af9c4b"
"File Data","Loop End","15 of 15","5/3/2024 2:26:28 PM"
"Note8","Note","Move File to Archive Folder and Rename","5/3/2024 2:26:28 PM"
"Move File to Archive Folder","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"File Path",,,"Text","E:\Documents\BluePrism\Weather API\Input\Input City Names.XLSX"
,,,,IN,"Destination Path",,,"Text","E:\Documents\BluePrism\Weather API\Input\Archive\Input City Names03.05.2024.XLSX"
,,,,OUT,"Success",,,"Flag","True"
,,,,OUT,"Message",,,"Text",""
"Success","Decision","True","5/3/2024 2:26:28 PM"
"Files","Loop End","1 of 1","5/3/2024 2:26:28 PM"
"End","End",,"5/3/2024 2:26:28 PM"
"Get Next Item","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"Queue Name",,,"Text","Eduard_Haponov - Weather API"
,,,,OUT,"Item ID",,,"Text","c9c87ae2-a1e0-4f6c-9f89-5a45e40fee4c"
,,,,OUT,"Data",,,,
,,,,OUT,"Status",,,"Text",""
,,,,OUT,"Attempts",,,"Number","0"
,,,,OUT,"Data","City","1","Text","New York"
,,,,OUT,"Data","City ID","1","Text","New York03 May, 2024"
,,,,OUT,"Data","File Name","1","Text","Input City Names.XLSX"
,,,,OUT,"Data","Units","1","Text","Imperial"
"Got Item?","Decision","True","5/3/2024 2:26:28 PM"
"01 - Get JSON ","Sub Sheet",,"5/3/2024 2:26:28 PM"

,,,,OUT,"Response Content",,,"Text","{""coord"":{""lon"":-74.006,""lat"":40.7143},""weather"":[{""id"":804,""main"":""Clouds"",""description"":""overcast clouds"",""icon"":""04d""}],""base"":""stations"",""main"":{""temp"":55.83,""feels_like"":54.59,""temp_min"":51.98,""temp_max"":59.72,""pressure"":1023,""humidity"":74},""visibility"":10000,""wind"":{""speed"":12.66,""deg"":60},""clouds"":{""all"":100},""dt"":1714742737,""sys"":{""type"":2,""id"":2008101,""country"":""US"",""sunrise"":1714729888,""sunset"":1714780447},""timezone"":-14400,""id"":5128581,""name"":""New York"",""cod"":200}"
"Start","Start",,"5/3/2024 2:26:28 PM"
"Get Weather for City","Action",,"5/3/2024 2:26:28 PM"

,,,,IN,"City",,,"Text","New York"
,,,,IN,"Units",,,"Text","Imperial"
,,,,OUT,"Response Headers",,,,
,,,,OUT,"HTTP Status Code",,,"Text","200"
